date,iu_id,capacity_mt
2020-10-01,IU_Central_1,730799
2020-11-01,IU_Central_1,862167
2020-12-01,IU_Central_1,992450
2021-01-01,IU_Central_1,930977
2021-02-01,IU_Central_1,1044478
2021-03-01,IU_Central_1,1157308
2021-04-01,IU_Central_1,855235
2021-05-01,IU_Central_1,881125
2021-06-01,IU_Central_1,653121
2021-07-01,IU_Central_1,461123
2021-08-01,IU_Central_1,459718
2021-09-01,IU_Central_1,505783
2021-10-01,IU_Central_1,782090
2021-11-01,IU_Central_1,844323
2021-12-01,IU_Central_1,895349
2022-01-01,IU_Central_1,1116520
2022-02-01,IU_Central_1,1280481
2022-03-01,IU_Central_1,1107192
2022-04-01,IU_Central_1,1042690
2022-05-01,IU_Central_1,930207
2022-06-01,IU_Central_1,619587
2022-07-01,IU_Central_1,439221
2022-08-01,IU_Central_1,473319
2022-09-01,IU_Central_1,500723
2022-10-01,IU_Central_1,861226
2022-11-01,IU_Central_1,718223
2022-12-01,IU_Central_1,1186417
2023-01-01,IU_Central_1,1221421
2023-02-01,IU_Central_1,1296863
2023-03-01,IU_Central_1,1318042
2023-04-01,IU_Central_1,1389670
2023-05-01,IU_Central_1,1033869
2023-06-01,IU_Central_1,747855
2023-07-01,IU_Central_1,500697
2023-08-01,IU_Central_1,560586
2023-09-01,IU_Central_1,780251
2023-10-01,IU_Central_1,1039016
2023-11-01,IU_Central_1,810443
2023-12-01,IU_Central_1,1166834
2024-01-01,IU_Central_1,1244269
2024-02-01,IU_Central_1,1585634
2024-03-01,IU_Central_1,1397224
2024-04-01,IU_Central_1,1471220
2024-05-01,IU_Central_1,1229025
2024-06-01,IU_Central_1,937803
2024-07-01,IU_Central_1,475592
2024-08-01,IU_Central_1,624125
2024-09-01,IU_Central_1,831505
2024-10-01,IU_Central_1,993831
2024-11-01,IU_Central_1,1275849
2024-12-01,IU_Central_1,1236624
2025-01-01,IU_Central_1,1541471
2025-02-01,IU_Central_1,1596855
2025-03-01,IU_Central_1,1805492
2025-04-01,IU_Central_1,1583061
2025-05-01,IU_Central_1,1418511
2025-06-01,IU_Central_1,1064102
2025-07-01,IU_Central_1,529841
2025-08-01,IU_Central_1,781326
2025-09-01,IU_Central_1,767519
2025-10-01,IU_Central_1,1316679
2025-11-01,IU_Central_1,1167923
2025-12-01,IU_Central_1,1515107
2015-01-01,IU_Central_2,614878
2015-02-01,IU_Central_2,543337
2015-03-01,IU_Central_2,556720
2015-04-01,IU_Central_2,547750
2015-05-01,IU_Central_2,428626
2015-06-01,IU_Central_2,333086
2015-07-01,IU_Central_2,236594
2015-08-01,IU_Central_2,179561
2015-09-01,IU_Central_2,322597
2015-10-01,IU_Central_2,401070
2015-11-01,IU_Central_2,519702
2015-12-01,IU_Central_2,583328
2016-01-01,IU_Central_2,636669
2016-02-01,IU_Central_2,659751
2016-03-01,IU_Central_2,708508
2016-04-01,IU_Central_2,591307
2016-05-01,IU_Central_2,531597
2016-06-01,IU_Central_2,375712
2016-07-01,IU_Central_2,250155
2016-08-01,IU_Central_2,200354
2016-09-01,IU_Central_2,329779
2016-10-01,IU_Central_2,444148
2016-11-01,IU_Central_2,483161
2016-12-01,IU_Central_2,432191
2017-01-01,IU_Central_2,746322
2017-02-01,IU_Central_2,807941
2017-03-01,IU_Central_2,842953
2017-04-01,IU_Central_2,615662
2017-05-01,IU_Central_2,570466
2017-06-01,IU_Central_2,458211
2017-07-01,IU_Central_2,306088
2017-08-01,IU_Central_2,272903
2017-09-01,IU_Central_2,452670
2017-10-01,IU_Central_2,525677
2017-11-01,IU_Central_2,651191
2017-12-01,IU_Central_2,612062
2018-01-01,IU_Central_2,888308
2018-02-01,IU_Central_2,726006
2018-03-01,IU_Central_2,998732
2018-04-01,IU_Central_2,874247
2018-05-01,IU_Central_2,669682
2018-06-01,IU_Central_2,449791
2018-07-01,IU_Central_2,333027
2018-08-01,IU_Central_2,355029
2018-09-01,IU_Central_2,486524
2018-10-01,IU_Central_2,505829
2018-11-01,IU_Central_2,659443
2018-12-01,IU_Central_2,709772
2019-01-01,IU_Central_2,799726
2019-02-01,IU_Central_2,1020979
2019-03-01,IU_Central_2,942500
2019-04-01,IU_Central_2,754144
2019-05-01,IU_Central_2,751693
2019-06-01,IU_Central_2,490754
2019-07-01,IU_Central_2,374991
2019-08-01,IU_Central_2,350109
2019-09-01,IU_Central_2,611364
2019-10-01,IU_Central_2,723746
2019-11-01,IU_Central_2,653305
2019-12-01,IU_Central_2,806684
2020-01-01,IU_Central_2,949702
2020-02-01,IU_Central_2,877345
2020-03-01,IU_Central_2,1354219
2020-04-01,IU_Central_2,128126
2020-05-01,IU_Central_2,573863
2020-06-01,IU_Central_2,344397
2020-07-01,IU_Central_2,489369
2020-08-01,IU_Central_2,381532
2020-09-01,IU_Central_2,516092
2020-10-01,IU_Central_2,706809
2020-11-01,IU_Central_2,732850
2020-12-01,IU_Central_2,904726
2021-01-01,IU_Central_2,933691
2021-02-01,IU_Central_2,1047443
2021-03-01,IU_Central_2,1139911
2021-04-01,IU_Central_2,976819
2021-05-01,IU_Central_2,882009
2021-06-01,IU_Central_2,647703
2021-07-01,IU_Central_2,464013
2021-08-01,IU_Central_2,405860
2021-09-01,IU_Central_2,730096
2021-10-01,IU_Central_2,827387
2021-11-01,IU_Central_2,717465
2021-12-01,IU_Central_2,964749
2022-01-01,IU_Central_2,1143477
2022-02-01,IU_Central_2,1261437
2022-03-01,IU_Central_2,1480477
2022-04-01,IU_Central_2,1192197
2022-05-01,IU_Central_2,873867
2022-06-01,IU_Central_2,664468
2022-07-01,IU_Central_2,435319
2022-08-01,IU_Central_2,433286
2022-09-01,IU_Central_2,662127
2022-10-01,IU_Central_2,759670
2022-11-01,IU_Central_2,1073751
2022-12-01,IU_Central_2,989682
2023-01-01,IU_Central_2,1219706
2023-02-01,IU_Central_2,1317595
2023-03-01,IU_Central_2,1506734
2023-04-01,IU_Central_2,1299973
2023-05-01,IU_Central_2,1136685
2023-06-01,IU_Central_2,777755
2023-07-01,IU_Central_2,516823
2023-08-01,IU_Central_2,598879
2023-09-01,IU_Central_2,832357
2023-10-01,IU_Central_2,890514
2023-11-01,IU_Central_2,1213253
2023-12-01,IU_Central_2,1569265
2024-01-01,IU_Central_2,1240323
2024-02-01,IU_Central_2,1293676
2024-03-01,IU_Central_2,1720458
2024-04-01,IU_Central_2,1515707
2024-05-01,IU_Central_2,1151346
2024-06-01,IU_Central_2,817196
2024-07-01,IU_Central_2,648534
2024-08-01,IU_Central_2,628005
2024-09-01,IU_Central_2,882058
2024-10-01,IU_Central_2,1213727
2024-11-01,IU_Central_2,1117088
2024-12-01,IU_Central_2,1389397
2025-01-01,IU_Central_2,1648721
2025-02-01,IU_Central_2,1576354
2025-03-01,IU_Central_2,1881602
2025-04-01,IU_Central_2,1471421
2025-05-01,IU_Central_2,1139731
2025-06-01,IU_Central_2,870739
2025-07-01,IU_Central_2,636044
2025-08-01,IU_Central_2,638221
2025-09-01,IU_Central_2,876189
2025-10-01,IU_Central_2,1053306
2025-11-01,IU_Central_2,1392757
2025-12-01,IU_Central_2,1553431
2015-01-01,IU_Central_3,467323
2015-02-01,IU_Central_3,521284
2015-03-01,IU_Central_3,532948
2015-04-01,IU_Central_3,531846
2015-05-01,IU_Central_3,394558
2015-06-01,IU_Central_3,324617
2015-07-01,IU_Central_3,199137
2015-08-01,IU_Central_3,189657
2015-09-01,IU_Central_3,392621
2015-10-01,IU_Central_3,410653
2015-11-01,IU_Central_3,409996
2015-12-01,IU_Central_3,468950
2016-01-01,IU_Central_3,596677
2016-02-01,IU_Central_3,696618
2016-03-01,IU_Central_3,628203
2016-04-01,IU_Central_3,553380
2016-05-01,IU_Central_3,540535
2016-06-01,IU_Central_3,389113
2016-07-01,IU_Central_3,302530
2016-08-01,IU_Central_3,246137
2016-09-01,IU_Central_3,347132
2016-10-01,IU_Central_3,360456
2016-11-01,IU_Central_3,461459
2016-12-01,IU_Central_3,632453
2017-01-01,IU_Central_3,721132
2017-02-01,IU_Central_3,872069
2017-03-01,IU_Central_3,842187
2017-04-01,IU_Central_3,750627
2017-05-01,IU_Central_3,484574
2017-06-01,IU_Central_3,422075
2017-07-01,IU_Central_3,339150
2017-08-01,IU_Central_3,305641
2017-09-01,IU_Central_3,412752
2017-10-01,IU_Central_3,557699
2017-11-01,IU_Central_3,540514
2017-12-01,IU_Central_3,566635
2018-01-01,IU_Central_3,768839
2018-02-01,IU_Central_3,777057
2018-03-01,IU_Central_3,798930
2018-04-01,IU_Central_3,902806
2018-05-01,IU_Central_3,729538
2018-06-01,IU_Central_3,498407
2018-07-01,IU_Central_3,480578
2018-08-01,IU_Central_3,346205
2018-09-01,IU_Central_3,430874
2018-10-01,IU_Central_3,678875
2018-11-01,IU_Central_3,646759
2018-12-01,IU_Central_3,884509
2019-01-01,IU_Central_3,812331
2019-02-01,IU_Central_3,756767
2019-03-01,IU_Central_3,846721
2019-04-01,IU_Central_3,786460
2019-05-01,IU_Central_3,734438
2019-06-01,IU_Central_3,506256
2019-07-01,IU_Central_3,364435
2019-08-01,IU_Central_3,438339
2019-09-01,IU_Central_3,435590
2019-10-01,IU_Central_3,633277
2019-11-01,IU_Central_3,582820
2019-12-01,IU_Central_3,795186
2020-01-01,IU_Central_3,801784
2020-02-01,IU_Central_3,797108
2020-03-01,IU_Central_3,922097
2020-04-01,IU_Central_3,126349
2020-05-01,IU_Central_3,532090
2020-06-01,IU_Central_3,497764
2020-07-01,IU_Central_3,368208
2020-08-01,IU_Central_3,381909
2020-09-01,IU_Central_3,477613
2020-10-01,IU_Central_3,650393
2020-11-01,IU_Central_3,674873
2020-12-01,IU_Central_3,965582
2021-01-01,IU_Central_3,1179292
2021-02-01,IU_Central_3,1144784
2021-03-01,IU_Central_3,1071449
2021-04-01,IU_Central_3,974724
2021-05-01,IU_Central_3,798730
2021-06-01,IU_Central_3,618792
2021-07-01,IU_Central_3,449883
2021-08-01,IU_Central_3,447309
2021-09-01,IU_Central_3,567619
2021-10-01,IU_Central_3,833966
2021-11-01,IU_Central_3,913903
2021-12-01,IU_Central_3,878260
2022-01-01,IU_Central_3,1080682
2022-02-01,IU_Central_3,1057618
2022-03-01,IU_Central_3,1234805
2022-04-01,IU_Central_3,1085278
2022-05-01,IU_Central_3,913459
2022-06-01,IU_Central_3,623781
2022-07-01,IU_Central_3,454291
2022-08-01,IU_Central_3,492317
2022-09-01,IU_Central_3,621515
2022-10-01,IU_Central_3,768044
2022-11-01,IU_Central_3,1024892
2022-12-01,IU_Central_3,885123
2023-01-01,IU_Central_3,1173859
2023-02-01,IU_Central_3,1215188
2023-03-01,IU_Central_3,1218839
2023-04-01,IU_Central_3,1343378
2023-05-01,IU_Central_3,1166026
2023-06-01,IU_Central_3,651584
2023-07-01,IU_Central_3,473439
2023-08-01,IU_Central_3,486239
2023-09-01,IU_Central_3,869748
2023-10-01,IU_Central_3,801201
2023-11-01,IU_Central_3,1118618
2023-12-01,IU_Central_3,1158009
2024-01-01,IU_Central_3,1381436
2024-02-01,IU_Central_3,1663595
2024-03-01,IU_Central_3,1747430
2024-04-01,IU_Central_3,1635125
2024-05-01,IU_Central_3,1121989
2024-06-01,IU_Central_3,995525
2024-07-01,IU_Central_3,710435
2024-08-01,IU_Central_3,620441
2024-09-01,IU_Central_3,778657
2024-10-01,IU_Central_3,1239854
2024-11-01,IU_Central_3,1332654
2024-12-01,IU_Central_3,1726540
2025-01-01,IU_Central_3,1578140
2025-02-01,IU_Central_3,1749282
2025-03-01,IU_Central_3,1788210
2025-04-01,IU_Central_3,1485889
2025-05-01,IU_Central_3,1346330
2025-06-01,IU_Central_3,972443
2025-07-01,IU_Central_3,678922
2025-08-01,IU_Central_3,692505
2025-09-01,IU_Central_3,996547
2025-10-01,IU_Central_3,1315844
2025-11-01,IU_Central_3,1137527
2025-12-01,IU_Central_3,1696623
2015-01-01,IU_East_1,524663
2015-02-01,IU_East_1,665509
2015-03-01,IU_East_1,666168
2015-04-01,IU_East_1,620844
2015-05-01,IU_East_1,481929
2015-06-01,IU_East_1,395082
2015-07-01,IU_East_1,170274
2015-08-01,IU_East_1,213273
2015-09-01,IU_East_1,302290
2015-10-01,IU_East_1,359307
2015-11-01,IU_East_1,443217
2015-12-01,IU_East_1,600308
2016-01-01,IU_East_1,560649
2016-02-01,IU_East_1,743187
2016-03-01,IU_East_1,698268
2016-04-01,IU_East_1,695427
2016-05-01,IU_East_1,508434
2016-06-01,IU_East_1,396375
2016-07-01,IU_East_1,235533
2016-08-01,IU_East_1,237189
2016-09-01,IU_East_1,393163
2016-10-01,IU_East_1,379339
2016-11-01,IU_East_1,399155
2016-12-01,IU_East_1,523314
2017-01-01,IU_East_1,647727
2017-02-01,IU_East_1,976177
2017-03-01,IU_East_1,813410
2017-04-01,IU_East_1,700593
2017-05-01,IU_East_1,638686
2017-06-01,IU_East_1,466260
2017-07-01,IU_East_1,263900
2017-08-01,IU_East_1,273555
2017-09-01,IU_East_1,402397
2017-10-01,IU_East_1,492711
2017-11-01,IU_East_1,569569
2017-12-01,IU_East_1,704254
2018-01-01,IU_East_1,1025109
2018-02-01,IU_East_1,932272
2018-03-01,IU_East_1,860543
2018-04-01,IU_East_1,857584
2018-05-01,IU_East_1,782908
2018-06-01,IU_East_1,484422
2018-07-01,IU_East_1,318652
2018-08-01,IU_East_1,347881
2018-09-01,IU_East_1,421650
2018-10-01,IU_East_1,524969
2018-11-01,IU_East_1,724050
2018-12-01,IU_East_1,764711
2019-01-01,IU_East_1,785740
2019-02-01,IU_East_1,825293
2019-03-01,IU_East_1,905501
2019-04-01,IU_East_1,1032879
2019-05-01,IU_East_1,685692
2019-06-01,IU_East_1,582429
2019-07-01,IU_East_1,309379
2019-08-01,IU_East_1,382953
2019-09-01,IU_East_1,420545
2019-10-01,IU_East_1,699471
2019-11-01,IU_East_1,685033
2019-12-01,IU_East_1,886431
2020-01-01,IU_East_1,895163
2020-02-01,IU_East_1,1195584
2020-03-01,IU_East_1,1165155
2020-04-01,IU_East_1,122530
2020-05-01,IU_East_1,587902
2020-06-01,IU_East_1,348055
2020-07-01,IU_East_1,376404
2020-08-01,IU_East_1,425333
2020-09-01,IU_East_1,547742
2020-10-01,IU_East_1,576039
2020-11-01,IU_East_1,786174
2020-12-01,IU_East_1,720672
2021-01-01,IU_East_1,1046121
2021-02-01,IU_East_1,923910
2021-03-01,IU_East_1,878898
2021-04-01,IU_East_1,1233139
2021-05-01,IU_East_1,1145776
2021-06-01,IU_East_1,664876
2021-07-01,IU_East_1,394428
2021-08-01,IU_East_1,463183
2021-09-01,IU_East_1,471267
2021-10-01,IU_East_1,702728
2021-11-01,IU_East_1,843089
2021-12-01,IU_East_1,908412
2022-01-01,IU_East_1,1005915
2022-02-01,IU_East_1,1290216
2022-03-01,IU_East_1,1386196
2022-04-01,IU_East_1,1426151
2022-05-01,IU_East_1,1009365
2022-06-01,IU_East_1,598280
2022-07-01,IU_East_1,482779
2022-08-01,IU_East_1,458306
2022-09-01,IU_East_1,493187
2022-10-01,IU_East_1,834676
2022-11-01,IU_East_1,862264
2022-12-01,IU_East_1,997921
2023-01-01,IU_East_1,1254019
2023-02-01,IU_East_1,1141366
2023-03-01,IU_East_1,1657909
2023-04-01,IU_East_1,1453708
2023-05-01,IU_East_1,995054
2023-06-01,IU_East_1,657227
2023-07-01,IU_East_1,445633
2023-08-01,IU_East_1,467643
2023-09-01,IU_East_1,704502
2023-10-01,IU_East_1,954098
2023-11-01,IU_East_1,940592
2023-12-01,IU_East_1,1252392
2024-01-01,IU_East_1,1459024
2024-02-01,IU_East_1,2040688
2024-03-01,IU_East_1,1653074
2024-04-01,IU_East_1,1332279
2024-05-01,IU_East_1,1321238
2024-06-01,IU_East_1,756476
2024-07-01,IU_East_1,623759
2024-08-01,IU_East_1,630152
2024-09-01,IU_East_1,798676
2024-10-01,IU_East_1,1086009
2024-11-01,IU_East_1,965531
2024-12-01,IU_East_1,1251145
2025-01-01,IU_East_1,1681781
2025-02-01,IU_East_1,1534648
2025-03-01,IU_East_1,1971547
2025-04-01,IU_East_1,1698624
2025-05-01,IU_East_1,1493492
2025-06-01,IU_East_1,1002893
2025-07-01,IU_East_1,666156
2025-08-01,IU_East_1,573870
2025-09-01,IU_East_1,759510
2025-10-01,IU_East_1,1041844
2025-11-01,IU_East_1,1485521
2025-12-01,IU_East_1,1613668
2015-01-01,IU_East_2,485757
2015-02-01,IU_East_2,546385
2015-03-01,IU_East_2,632545
2015-04-01,IU_East_2,489894
2015-05-01,IU_East_2,490543
2015-06-01,IU_East_2,304705
2015-07-01,IU_East_2,301919
2015-08-01,IU_East_2,236211
2015-09-01,IU_East_2,248522
2015-10-01,IU_East_2,436531
2015-11-01,IU_East_2,433239
2015-12-01,IU_East_2,517658
2016-01-01,IU_East_2,597152
2016-02-01,IU_East_2,666375
2016-03-01,IU_East_2,693404
2016-04-01,IU_East_2,646877
2016-05-01,IU_East_2,621278
2016-06-01,IU_East_2,381582
2016-07-01,IU_East_2,263260
2016-08-01,IU_East_2,256480
2016-09-01,IU_East_2,309493
2016-10-01,IU_East_2,452599
2016-11-01,IU_East_2,580693
2016-12-01,IU_East_2,546591
2017-01-01,IU_East_2,766886
2017-02-01,IU_East_2,644284
2017-03-01,IU_East_2,911747
2017-04-01,IU_East_2,748729
2017-05-01,IU_East_2,593225
2017-06-01,IU_East_2,428285
2017-07-01,IU_East_2,338663
2017-08-01,IU_East_2,279207
2017-09-01,IU_East_2,442975
2017-10-01,IU_East_2,594651
2017-11-01,IU_East_2,734383
2017-12-01,IU_East_2,770846
2018-01-01,IU_East_2,822035
2018-02-01,IU_East_2,748807
2018-03-01,IU_East_2,962962
2018-04-01,IU_East_2,922661
2018-05-01,IU_East_2,900389
2018-06-01,IU_East_2,428946
2018-07-01,IU_East_2,389389
2018-08-01,IU_East_2,310210
2018-09-01,IU_East_2,452614
2018-10-01,IU_East_2,629802
2018-11-01,IU_East_2,618396
2018-12-01,IU_East_2,874516
2019-01-01,IU_East_2,865630
2019-02-01,IU_East_2,834820
2019-03-01,IU_East_2,938742
2019-04-01,IU_East_2,730849
2019-05-01,IU_East_2,880580
2019-06-01,IU_East_2,544155
2019-07-01,IU_East_2,370291
2019-08-01,IU_East_2,296389
2019-09-01,IU_East_2,516889
2019-10-01,IU_East_2,589955
2019-11-01,IU_East_2,763086
2019-12-01,IU_East_2,701315
2020-01-01,IU_East_2,806021
2020-02-01,IU_East_2,1027101
2020-03-01,IU_East_2,1127941
2020-04-01,IU_East_2,136561
2020-05-01,IU_East_2,502123
2020-06-01,IU_East_2,357388
2020-07-01,IU_East_2,402385
2020-08-01,IU_East_2,421532
2020-09-01,IU_East_2,583893
2020-10-01,IU_East_2,636169
2020-11-01,IU_East_2,614004
2020-12-01,IU_East_2,847887
2021-01-01,IU_East_2,871030
2021-02-01,IU_East_2,1271223
2021-03-01,IU_East_2,1207498
2021-04-01,IU_East_2,1022147
2021-05-01,IU_East_2,812427
2021-06-01,IU_East_2,525304
2021-07-01,IU_East_2,425830
2021-08-01,IU_East_2,390644
2021-09-01,IU_East_2,599507
2021-10-01,IU_East_2,659268
2021-11-01,IU_East_2,888428
2021-12-01,IU_East_2,1065631
2022-01-01,IU_East_2,1215851
2022-02-01,IU_East_2,1220974
2022-03-01,IU_East_2,1457610
2022-04-01,IU_East_2,1040890
2022-05-01,IU_East_2,839034
2022-06-01,IU_East_2,606036
2022-07-01,IU_East_2,425744
2022-08-01,IU_East_2,548339
2022-09-01,IU_East_2,526753
2022-10-01,IU_East_2,806893
2022-11-01,IU_East_2,796584
2022-12-01,IU_East_2,1216606
2023-01-01,IU_East_2,1330760
2023-02-01,IU_East_2,1275943
2023-03-01,IU_East_2,1591655
2023-04-01,IU_East_2,1374810
2023-05-01,IU_East_2,984816
2023-06-01,IU_East_2,613718
2023-07-01,IU_East_2,540209
2023-08-01,IU_East_2,503473
2023-09-01,IU_East_2,656153
2023-10-01,IU_East_2,969739
2023-11-01,IU_East_2,961782
2023-12-01,IU_East_2,1090474
2024-01-01,IU_East_2,1511608
2024-02-01,IU_East_2,1835215
2024-03-01,IU_East_2,1669965
2024-04-01,IU_East_2,1548265
2024-05-01,IU_East_2,1191388
2024-06-01,IU_East_2,741214
2024-07-01,IU_East_2,675389
2024-08-01,IU_East_2,583781
2024-09-01,IU_East_2,1001782
2024-10-01,IU_East_2,1006356
2024-11-01,IU_East_2,1085479
2024-12-01,IU_East_2,1292534
2025-01-01,IU_East_2,1787590
2025-02-01,IU_East_2,1829052
2025-03-01,IU_East_2,1832960
2025-04-01,IU_East_2,1701729
2025-05-01,IU_East_2,1305621
2025-06-01,IU_East_2,819389
2025-07-01,IU_East_2,737975
2025-08-01,IU_East_2,613298
2025-09-01,IU_East_2,896232
2025-10-01,IU_East_2,1168576
2025-11-01,IU_East_2,1373119
2025-12-01,IU_East_2,1371638
2015-01-01,IU_East_3,624157
2015-02-01,IU_East_3,704044
2015-03-01,IU_East_3,589132
2015-04-01,IU_East_3,599796
2015-05-01,IU_East_3,540891
2015-06-01,IU_East_3,293660
2015-07-01,IU_East_3,258098
2015-08-01,IU_East_3,251973
2015-09-01,IU_East_3,280681
2015-10-01,IU_East_3,430438
2015-11-01,IU_East_3,489796
2015-12-01,IU_East_3,401732
2016-01-01,IU_East_3,663791
2016-02-01,IU_East_3,666119
2016-03-01,IU_East_3,677606
2016-04-01,IU_East_3,609786
2016-05-01,IU_East_3,629759
2016-06-01,IU_East_3,350444
2016-07-01,IU_East_3,229140
2016-08-01,IU_East_3,236060
2016-09-01,IU_East_3,461463
2016-10-01,IU_East_3,482954
2016-11-01,IU_East_3,621158
2016-12-01,IU_East_3,563045
2017-01-01,IU_East_3,798717
2017-02-01,IU_East_3,1053056
2017-03-01,IU_East_3,785302
2017-04-01,IU_East_3,717873
2017-05-01,IU_East_3,556512
2017-06-01,IU_East_3,421658
2017-07-01,IU_East_3,280115
2017-08-01,IU_East_3,265413
2017-09-01,IU_East_3,416985
2017-10-01,IU_East_3,646779
2017-11-01,IU_East_3,598969
2017-12-01,IU_East_3,824400
2018-01-01,IU_East_3,669152
2018-02-01,IU_East_3,902954
2018-03-01,IU_East_3,1025697
2018-04-01,IU_East_3,829692
2018-05-01,IU_East_3,635575
2018-06-01,IU_East_3,483410
2018-07-01,IU_East_3,329437
2018-08-01,IU_East_3,256231
2018-09-01,IU_East_3,384757
2018-10-01,IU_East_3,539778
2018-11-01,IU_East_3,645685
2018-12-01,IU_East_3,728457
2019-01-01,IU_East_3,924760
2019-02-01,IU_East_3,804064
2019-03-01,IU_East_3,1018127
2019-04-01,IU_East_3,891223
2019-05-01,IU_East_3,877661
2019-06-01,IU_East_3,511713
2019-07-01,IU_East_3,385796
2019-08-01,IU_East_3,330004
2019-09-01,IU_East_3,512587
2019-10-01,IU_East_3,739391
2019-11-01,IU_East_3,668803
2019-12-01,IU_East_3,892676
2020-01-01,IU_East_3,1058752
2020-02-01,IU_East_3,955180
2020-03-01,IU_East_3,1068337
2020-04-01,IU_East_3,129331
2020-05-01,IU_East_3,566626
2020-06-01,IU_East_3,381189
2020-07-01,IU_East_3,333227
2020-08-01,IU_East_3,348573
2020-09-01,IU_East_3,497209
2020-10-01,IU_East_3,672677
2020-11-01,IU_East_3,694743
2020-12-01,IU_East_3,686957
2021-01-01,IU_East_3,1199239
2021-02-01,IU_East_3,979653
2021-03-01,IU_East_3,1417629
2021-04-01,IU_East_3,970425
2021-05-01,IU_East_3,830626
2021-06-01,IU_East_3,690399
2021-07-01,IU_East_3,393620
2021-08-01,IU_East_3,321542
2021-09-01,IU_East_3,577273
2021-10-01,IU_East_3,878677
2021-11-01,IU_East_3,948612
2021-12-01,IU_East_3,913047
2022-01-01,IU_East_3,1183885
2022-02-01,IU_East_3,1197933
2022-03-01,IU_East_3,1489193
2022-04-01,IU_East_3,1154977
2022-05-01,IU_East_3,1092389
2022-06-01,IU_East_3,644098
2022-07-01,IU_East_3,591536
2022-08-01,IU_East_3,438155
2022-09-01,IU_East_3,605574
2022-10-01,IU_East_3,881580
2022-11-01,IU_East_3,949747
2022-12-01,IU_East_3,1055383
2023-01-01,IU_East_3,1550395
2023-02-01,IU_East_3,1625765
2023-03-01,IU_East_3,1521508
2023-04-01,IU_East_3,1408886
2023-05-01,IU_East_3,1312757
2023-06-01,IU_East_3,638958
2023-07-01,IU_East_3,632853
2023-08-01,IU_East_3,486893
2023-09-01,IU_East_3,668272
2023-10-01,IU_East_3,917181
2023-11-01,IU_East_3,1018223
2023-12-01,IU_East_3,1074854
2024-01-01,IU_East_3,1584418
2024-02-01,IU_East_3,1487332
2024-03-01,IU_East_3,1677839
2024-04-01,IU_East_3,1631354
2024-05-01,IU_East_3,1389364
2024-06-01,IU_East_3,880369
2024-07-01,IU_East_3,596500
2024-08-01,IU_East_3,660515
2024-09-01,IU_East_3,962229
2024-10-01,IU_East_3,857999
2024-11-01,IU_East_3,1288914
2024-12-01,IU_East_3,1494820
2025-01-01,IU_East_3,1596517
2025-02-01,IU_East_3,1837179
2025-03-01,IU_East_3,1913208
2025-04-01,IU_East_3,1700017
2025-05-01,IU_East_3,1485219
2025-06-01,IU_East_3,1057951
2025-07-01,IU_East_3,640599
