Date,Supplying_IU,Receiving_GU,Mode,Units_Dispatched,Unit_Type,Quantity_MT,Total_Cost_INR
2015-06-01,IU_Central_2,GU_Central_1,road,2137,Trucks (30 MT),64110.0,4403166.39
2015-06-01,IU_Central_2,GU_Central_2,road,8965,Trucks (30 MT),268950.0,27637302.0
2015-06-01,IU_Central_3,GU_Central_1,road,4634,Trucks (30 MT),139020.0,12171995.4
2015-06-01,IU_Central_3,GU_Central_3,road,6186,Trucks (30 MT),185580.0,8562130.97
2015-06-01,IU_East_1,GU_East_3,road,4483,Trucks (30 MT),134490.0,23480224.84
2015-06-01,IU_East_2,GU_East_1,road,6989,Trucks (30 MT),209670.0,13630946.23
2015-06-01,IU_East_2,GU_East_3,road,3167,Trucks (30 MT),95010.0,10410788.61
2015-06-01,IU_East_3,GU_East_2,road,8506,Trucks (30 MT),255180.0,15117956.83
2015-06-01,IU_North_1,GU_North_2,road,5624,Trucks (30 MT),168720.0,15391602.51
2015-06-01,IU_North_1,GU_North_3,road,9469,Trucks (30 MT),284070.0,12808310.49
2015-06-01,IU_North_2,GU_North_2,road,5488,Trucks (30 MT),164640.0,23564923.2
2015-06-01,IU_North_3,GU_North_1,road,10115,Trucks (30 MT),303450.0,11136615.0
2015-06-01,IU_South_1,GU_South_2,road,9856,Trucks (30 MT),295680.0,8836185.6
2015-06-01,IU_South_2,GU_South_1,road,5091,Trucks (30 MT),152730.0,4884523.59
2015-06-01,IU_South_2,GU_South_3,road,9943,Trucks (30 MT),298290.0,10321686.26
2015-06-01,IU_South_3,GU_South_1,road,5129,Trucks (30 MT),153870.0,19441914.13
2015-06-01,IU_West_1,GU_West_2,road,10188,Trucks (30 MT),305640.0,17947180.8
2015-06-01,IU_West_2,GU_West_3,road,7384,Trucks (30 MT),221520.0,28221964.46
2015-06-01,IU_West_3,GU_West_1,road,6859,Trucks (30 MT),205770.0,9277875.34
2015-07-01,IU_Central_1,GU_Central_2,road,4060,Trucks (30 MT),121800.0,18860602.4
2015-07-01,IU_Central_2,GU_Central_1,road,5599,Trucks (30 MT),167970.0,11789990.27
2015-07-01,IU_Central_2,GU_Central_2,road,2287,Trucks (30 MT),68610.0,7205330.72
2015-07-01,IU_Central_3,GU_Central_1,road,293,Trucks (30 MT),8790.0,786530.87
2015-07-01,IU_Central_3,GU_Central_3,road,6344,Trucks (30 MT),190320.0,8973823.63
2015-07-01,IU_East_1,GU_East_3,road,2944,Trucks (30 MT),88320.0,15758458.15
2015-07-01,IU_East_2,GU_East_1,road,6751,Trucks (30 MT),202530.0,13456170.35
2015-07-01,IU_East_2,GU_East_3,road,3312,Trucks (30 MT),99360.0,11126749.17
2015-07-01,IU_East_3,GU_East_2,road,6241,Trucks (30 MT),187230.0,11336116.74
2015-07-01,IU_North_1,GU_North_2,road,4164,Trucks (30 MT),124920.0,11646398.67
2015-07-01,IU_North_1,GU_North_3,road,7855,Trucks (30 MT),235650.0,10858662.23
2015-07-01,IU_North_2,GU_North_2,road,4901,Trucks (30 MT),147030.0,21506960.28
2015-07-01,IU_North_3,GU_North_1,road,8302,Trucks (30 MT),249060.0,9341410.4
2015-07-01,IU_South_1,GU_South_2,road,7980,Trucks (30 MT),239400.0,7311549.6
2015-07-01,IU_South_2,GU_South_1,road,3277,Trucks (30 MT),98310.0,3213201.49
2015-07-01,IU_South_2,GU_South_3,road,8047,Trucks (30 MT),241410.0,8537085.29
2015-07-01,IU_South_3,GU_South_1,road,7547,Trucks (30 MT),226410.0,29236344.86
2015-07-01,IU_West_1,GU_West_2,road,7060,Trucks (30 MT),211800.0,12710259.2
2015-07-01,IU_West_2,GU_West_3,road,6747,Trucks (30 MT),202410.0,26354128.99
2015-07-01,IU_West_3,GU_West_1,road,5406,Trucks (30 MT),162180.0,7473192.62
2015-07-01,IU_West_3,GU_West_3,road,935,Trucks (30 MT),28050.0,4223277.46
2015-08-01,IU_Central_1,GU_Central_2,road,5094,Trucks (30 MT),152820.0,22486284.1
2015-08-01,IU_Central_2,GU_Central_1,road,4432,Trucks (30 MT),132960.0,8868128.09
2015-08-01,IU_Central_2,GU_Central_2,road,1553,Trucks (30 MT),46590.0,4649309.28
2015-08-01,IU_Central_3,GU_Central_1,road,744,Trucks (30 MT),22320.0,1897799.45
2015-08-01,IU_Central_3,GU_Central_3,road,5577,Trucks (30 MT),167310.0,7496252.85
2015-08-01,IU_East_1,GU_East_3,road,4044,Trucks (30 MT),121320.0,20569147.41
2015-08-01,IU_East_2,GU_East_1,road,6371,Trucks (30 MT),191130.0,12066746.81
2015-08-01,IU_East_2,GU_East_3,road,1502,Trucks (30 MT),45060.0,4794873.22
2015-08-01,IU_East_3,GU_East_2,road,4839,Trucks (30 MT),145170.0,8352086.35
2015-08-01,IU_North_1,GU_North_2,road,2956,Trucks (30 MT),88680.0,7856237.21
2015-08-01,IU_North_1,GU_North_3,road,7010,Trucks (30 MT),210300.0,9208255.89
2015-08-01,IU_North_2,GU_North_1,road,616,Trucks (30 MT),18480.0,1486615.68
2015-08-01,IU_North_2,GU_North_2,road,5188,Trucks (30 MT),155640.0,21633337.44
2015-08-01,IU_North_3,GU_North_1,road,8684,Trucks (30 MT),260520.0,9284932.8
2015-08-01,IU_South_1,GU_South_2,road,8356,Trucks (30 MT),250680.0,7275020.09
2015-08-01,IU_South_2,GU_South_1,road,635,Trucks (30 MT),19050.0,591649.46
2015-08-01,IU_South_2,GU_South_3,road,9508,Trucks (30 MT),285240.0,9585041.97
2015-08-01,IU_South_3,GU_South_1,road,7346,Trucks (30 MT),220380.0,27041381.59
2015-08-01,IU_West_1,GU_West_2,road,6515,Trucks (30 MT),195450.0,11145340.8
2015-08-01,IU_West_2,GU_West_3,road,6383,Trucks (30 MT),191490.0,23691471.07
2015-08-01,IU_West_3,GU_West_1,road,7691,Trucks (30 MT),230730.0,10102809.7
2015-09-01,IU_Central_2,GU_Central_1,road,3226,Trucks (30 MT),96780.0,6602313.17
2015-09-01,IU_Central_2,GU_Central_2,road,7527,Trucks (30 MT),225810.0,23048276.16
2015-09-01,IU_Central_3,GU_Central_1,road,3571,Trucks (30 MT),107130.0,9316800.22
2015-09-01,IU_Central_3,GU_Central_3,road,6665,Trucks (30 MT),199950.0,9163118.17
2015-09-01,IU_East_1,GU_East_3,road,6051,Trucks (30 MT),181530.0,31479791.55
2015-09-01,IU_East_2,GU_East_1,road,8272,Trucks (30 MT),248160.0,16024802.01
2015-09-01,IU_East_2,GU_East_3,road,12,Trucks (30 MT),360.0,39182.13
2015-09-01,IU_East_3,GU_East_2,road,6451,Trucks (30 MT),193530.0,11388484.81
2015-09-01,IU_North_1,GU_North_2,road,5209,Trucks (30 MT),156270.0,14160026.54
2015-09-01,IU_North_1,GU_North_3,road,10698,Trucks (30 MT),320940.0,14373466.01
2015-09-01,IU_North_2,GU_North_2,road,4917,Trucks (30 MT),147510.0,20971201.68
2015-09-01,IU_North_3,GU_North_1,road,11558,Trucks (30 MT),346740.0,12639828.8
2015-09-01,IU_South_1,GU_South_2,road,11142,Trucks (30 MT),334260.0,9921982.83
2015-09-01,IU_South_2,GU_South_1,road,4537,Trucks (30 MT),136110.0,4323735.07
2015-09-01,IU_South_2,GU_South_3,road,9343,Trucks (30 MT),280290.0,9633647.38
2015-09-01,IU_South_3,GU_South_1,road,5202,Trucks (30 MT),156060.0,19586094.79
2015-09-01,IU_West_1,GU_West_2,road,7162,Trucks (30 MT),214860.0,12531781.12
2015-09-01,IU_West_2,GU_West_3,road,8640,Trucks (30 MT),259200.0,32800501.03
2015-09-01,IU_West_3,GU_West_1,road,7218,Trucks (30 MT),216540.0,9697857.33
2015-10-01,IU_Central_1,GU_Central_2,road,1046,Trucks (30 MT),31380.0,4749470.59
2015-10-01,IU_Central_2,GU_Central_1,road,4348,Trucks (30 MT),130440.0,8949041.18
2015-10-01,IU_Central_2,GU_Central_2,road,9021,Trucks (30 MT),270630.0,27779628.24
2015-10-01,IU_Central_3,GU_Central_1,road,4240,Trucks (30 MT),127200.0,11124948.34
2015-10-01,IU_Central_3,GU_Central_3,road,9448,Trucks (30 MT),283440.0,13062858.79
2015-10-01,IU_East_1,GU_East_3,road,2572,Trucks (30 MT),77160.0,13456461.5
2015-10-01,IU_East_2,GU_East_1,road,9577,Trucks (30 MT),287310.0,18658075.58
2015-10-01,IU_East_2,GU_East_3,road,4974,Trucks (30 MT),149220.0,16333066.95
2015-10-01,IU_East_3,GU_East_2,road,8140,Trucks (30 MT),244200.0,14451686.23
2015-10-01,IU_North_1,GU_North_2,road,5152,Trucks (30 MT),154560.0,14084478.72
2015-10-01,IU_North_1,GU_North_3,road,11766,Trucks (30 MT),352980.0,15898017.5
2015-10-01,IU_North_2,GU_North_2,road,9331,Trucks (30 MT),279930.0,40022711.82
2015-10-01,IU_North_3,GU_North_1,road,10737,Trucks (30 MT),322110.0,11808552.6
2015-10-01,IU_South_1,GU_South_2,road,12278,Trucks (30 MT),368340.0,10995580.44
2015-10-01,IU_South_2,GU_South_1,road,3445,Trucks (30 MT),103350.0,3301678.16
2015-10-01,IU_South_2,GU_South_3,road,13369,Trucks (30 MT),401070.0,13863041.85
2015-10-01,IU_South_3,GU_South_1,road,10415,Trucks (30 MT),312450.0,39435921.39
2015-10-01,IU_West_1,GU_West_2,road,10275,Trucks (30 MT),308250.0,18080712.0
2015-10-01,IU_West_2,GU_West_3,road,10342,Trucks (30 MT),310260.0,39484485.41
2015-10-01,IU_West_3,GU_West_1,road,11387,Trucks (30 MT),341610.0,15385919.19
2015-11-01,IU_Central_1,GU_Central_2,road,2578,Trucks (30 MT),77340.0,12495418.69
2015-11-01,IU_Central_2,GU_Central_1,road,8579,Trucks (30 MT),257370.0,18848553.23
2015-11-01,IU_Central_2,GU_Central_2,road,8744,Trucks (30 MT),262320.0,28743276.8
2015-11-01,IU_Central_3,GU_Central_1,road,3106,Trucks (30 MT),93180.0,8699373.54
2015-11-01,IU_Central_3,GU_Central_3,road,10560,Trucks (30 MT),316800.0,15585353.14
2015-11-01,IU_East_1,GU_East_3,road,3460,Trucks (30 MT),103800.0,19323704.57
2015-11-01,IU_East_2,GU_East_1,road,8776,Trucks (30 MT),263280.0,18251071.09
2015-11-01,IU_East_2,GU_East_3,road,5665,Trucks (30 MT),169950.0,19857119.86
2015-11-01,IU_East_3,GU_East_2,road,11538,Trucks (30 MT),346140.0,21866487.94
2015-11-01,IU_North_1,GU_North_2,road,6418,Trucks (30 MT),192540.0,18729190.97
2015-11-01,IU_North_1,GU_North_3,road,13057,Trucks (30 MT),391710.0,18832670.69
2015-11-01,IU_North_2,GU_North_2,road,6066,Trucks (30 MT),181980.0,27773787.6
2015-11-01,IU_North_3,GU_North_1,road,13112,Trucks (30 MT),393360.0,15393488.0
2015-11-01,IU_South_1,GU_South_2,road,14964,Trucks (30 MT),448920.0,14305156.46
2015-11-01,IU_South_2,GU_South_1,road,1133,Trucks (30 MT),33990.0,1159123.74
2015-11-01,IU_South_2,GU_South_3,road,16164,Trucks (30 MT),484920.0,17892162.51
2015-11-01,IU_South_3,GU_South_1,road,15154,Trucks (30 MT),454620.0,61251169.09
2015-11-01,IU_West_1,GU_West_2,road,11651,Trucks (30 MT),349530.0,21885238.4
2015-11-01,IU_West_2,GU_West_3,road,12888,Trucks (30 MT),386640.0,52524491.66
2015-11-01,IU_West_3,GU_West_1,road,10653,Trucks (30 MT),319590.0,15365278.46
2015-12-01,IU_Central_1,GU_Central_2,road,1300,Trucks (30 MT),39000.0,6091707.14
2015-12-01,IU_Central_2,GU_Central_1,road,10496,Trucks (30 MT),314880.0,22294253.71
2015-12-01,IU_Central_2,GU_Central_2,road,8948,Trucks (30 MT),268440.0,28436744.0
2015-12-01,IU_Central_3,GU_Central_1,road,3520,Trucks (30 MT),105600.0,9531405.71
2015-12-01,IU_Central_3,GU_Central_3,road,12111,Trucks (30 MT),363330.0,17280666.86
2015-12-01,IU_East_1,GU_East_3,road,6522,Trucks (30 MT),195660.0,35214607.29
2015-12-01,IU_East_2,GU_East_1,road,11592,Trucks (30 MT),347760.0,23306544.0
2015-12-01,IU_East_2,GU_East_3,road,5663,Trucks (30 MT),169890.0,19190693.5
2015-12-01,IU_East_3,GU_East_2,road,11882,Trucks (30 MT),356460.0,21770370.14
2015-12-01,IU_North_1,GU_North_2,road,7998,Trucks (30 MT),239940.0,22564643.14
2015-12-01,IU_North_1,GU_North_3,road,15491,Trucks (30 MT),464730.0,21601093.0
2015-12-01,IU_North_2,GU_North_2,road,6933,Trucks (30 MT),207990.0,30688924.5
2015-12-01,IU_North_3,GU_North_1,road,14461,Trucks (30 MT),433830.0,16413235.0
2015-12-01,IU_South_1,GU_South_2,road,17282,Trucks (30 MT),518460.0,15972271.29
2015-12-01,IU_South_2,GU_South_1,road,7587,Trucks (30 MT),227610.0,7504084.93
2015-12-01,IU_South_2,GU_South_3,road,14822,Trucks (30 MT),444660.0,15861657.43
2015-12-01,IU_South_3,GU_South_1,road,7477,Trucks (30 MT),224310.0,29217445.64
2015-12-01,IU_West_1,GU_West_2,road,13460,Trucks (30 MT),403800.0,24443360.0
2015-12-01,IU_West_2,GU_West_3,road,11121,Trucks (30 MT),333630.0,43817534.36
2015-12-01,IU_West_3,GU_West_1,road,13159,Trucks (30 MT),394770.0,18349285.57
2016-01-01,IU_Central_1,GU_Central_2,road,324,Trucks (30 MT),9720.0,1497640.94
2016-01-01,IU_Central_2,GU_Central_1,road,7137,Trucks (30 MT),214110.0,14953809.45
2016-01-01,IU_Central_2,GU_Central_2,road,14085,Trucks (30 MT),422550.0,44154784.8
2016-01-01,IU_Central_3,GU_Central_1,road,5890,Trucks (30 MT),176700.0,15732459.26
2016-01-01,IU_Central_3,GU_Central_3,road,13999,Trucks (30 MT),419970.0,19703552.5
2016-01-01,IU_East_1,GU_East_3,road,10806,Trucks (30 MT),324180.0,57553805.73
2016-01-01,IU_East_2,GU_East_1,road,15477,Trucks (30 MT),464310.0,30695401.44
2016-01-01,IU_East_2,GU_East_3,road,4428,Trucks (30 MT),132840.0,14801943.7
2016-01-01,IU_East_3,GU_East_2,road,16587,Trucks (30 MT),497610.0,29978585.54
2016-01-01,IU_North_1,GU_North_2,road,10147,Trucks (30 MT),304410.0,28239158.98
2016-01-01,IU_North_1,GU_North_3,road,17548,Trucks (30 MT),526440.0,24137424.41
2016-01-01,IU_North_2,GU_North_2,road,8644,Trucks (30 MT),259320.0,37743507.36
2016-01-01,IU_North_3,GU_North_1,road,18032,Trucks (30 MT),540960.0,20188627.2
2016-01-01,IU_South_1,GU_South_2,road,21023,Trucks (30 MT),630690.0,19166128.51
2016-01-01,IU_South_2,GU_South_1,road,10661,Trucks (30 MT),319830.0,10401419.88
2016-01-01,IU_South_2,GU_South_3,road,20627,Trucks (30 MT),618810.0,21774332.67
2016-01-01,IU_South_3,GU_South_1,road,9261,Trucks (30 MT),277830.0,35697662.28
2016-01-01,IU_West_1,GU_West_2,road,13832,Trucks (30 MT),414960.0,24778091.52
2016-01-01,IU_West_2,GU_West_3,road,16174,Trucks (30 MT),485220.0,62862053.25
2016-01-01,IU_West_3,GU_West_1,road,14134,Trucks (30 MT),424020.0,19441438.15
2016-02-01,IU_Central_1,GU_Central_2,road,455,Trucks (30 MT),13650.0,2074615.4
2016-02-01,IU_Central_2,GU_Central_1,road,7973,Trucks (30 MT),239190.0,16478641.96
2016-02-01,IU_Central_2,GU_Central_2,road,14018,Trucks (30 MT),420540.0,43348141.76
2016-02-01,IU_Central_3,GU_Central_1,road,7959,Trucks (30 MT),238770.0,20970236.76
2016-02-01,IU_Central_3,GU_Central_3,road,15261,Trucks (30 MT),457830.0,21188197.99
2016-02-01,IU_East_1,GU_East_3,road,12826,Trucks (30 MT),384780.0,67385092.22
2016-02-01,IU_East_2,GU_East_1,road,16717,Trucks (30 MT),501510.0,32704565.65
2016-02-01,IU_East_2,GU_East_3,road,5495,Trucks (30 MT),164850.0,18119338.6
2016-02-01,IU_East_3,GU_East_2,road,15224,Trucks (30 MT),456720.0,27141608.18
2016-02-01,IU_North_1,GU_North_2,road,5102,Trucks (30 MT),153060.0,14006127.02
2016-02-01,IU_North_1,GU_North_3,road,20694,Trucks (30 MT),620820.0,28078328.71
2016-02-01,IU_North_2,GU_North_2,road,14195,Trucks (30 MT),425850.0,61140136.2
2016-02-01,IU_North_3,GU_North_1,road,20542,Trucks (30 MT),616260.0,22686584.8
2016-02-01,IU_South_1,GU_South_2,road,22363,Trucks (30 MT),670890.0,20110982.01
2016-02-01,IU_South_2,GU_South_1,road,2988,Trucks (30 MT),89640.0,2875668.27
2016-02-01,IU_South_2,GU_South_3,road,22368,Trucks (30 MT),671040.0,23291606.67
2016-02-01,IU_South_3,GU_South_1,road,18412,Trucks (30 MT),552360.0,70007789.78
2016-02-01,IU_West_1,GU_West_2,road,17295,Trucks (30 MT),518850.0,30560956.8
2016-02-01,IU_West_2,GU_West_3,road,16818,Trucks (30 MT),504540.0,64477617.22
2016-02-01,IU_West_3,GU_West_1,road,14359,Trucks (30 MT),430770.0,19482783.51
2016-03-01,IU_Central_1,GU_Central_2,road,2010,Trucks (30 MT),60300.0,9327433.71
2016-03-01,IU_Central_2,GU_Central_1,road,9464,Trucks (30 MT),283920.0,19907388.8
2016-03-01,IU_Central_2,GU_Central_2,road,14152,Trucks (30 MT),424560.0,44539174.4
2016-03-01,IU_Central_3,GU_Central_1,road,7031,Trucks (30 MT),210930.0,18853927.83
2016-03-01,IU_Central_3,GU_Central_3,road,13909,Trucks (30 MT),417270.0,19653814.4
2016-03-01,IU_East_1,GU_East_3,road,8862,Trucks (30 MT),265860.0,47385367.2
2016-03-01,IU_East_2,GU_East_1,road,15591,Trucks (30 MT),467730.0,31043017.37
2016-03-01,IU_East_2,GU_East_3,road,7522,Trucks (30 MT),225660.0,25243402.17
2016-03-01,IU_East_3,GU_East_2,road,15459,Trucks (30 MT),463770.0,28049692.97
2016-03-01,IU_North_1,GU_North_2,road,7270,Trucks (30 MT),218100.0,20311964.57
2016-03-01,IU_North_1,GU_North_3,road,23234,Trucks (30 MT),697020.0,32084162.51
