date,gu_id,demand_mt
2016-05-01,GU_Central_2,394493
2016-06-01,GU_Central_2,227898
2016-07-01,GU_Central_2,233654
2016-08-01,GU_Central_2,253606
2016-09-01,GU_Central_2,174520
2016-10-01,GU_Central_2,313710
2016-11-01,GU_Central_2,371500
2016-12-01,GU_Central_2,381835
2017-01-01,GU_Central_2,475093
2017-02-01,GU_Central_2,481908
2017-03-01,GU_Central_2,556341
2017-04-01,GU_Central_2,447286
2017-05-01,GU_Central_2,437951
2017-06-01,GU_Central_2,280004
2017-07-01,GU_Central_2,207559
2017-08-01,GU_Central_2,205110
2017-09-01,GU_Central_2,292412
2017-10-01,GU_Central_2,390616
2017-11-01,GU_Central_2,404639
2017-12-01,GU_Central_2,514109
2018-01-01,GU_Central_2,575292
2018-02-01,GU_Central_2,586544
2018-03-01,GU_Central_2,654749
2018-04-01,GU_Central_2,527840
2018-05-01,GU_Central_2,551458
2018-06-01,GU_Central_2,315012
2018-07-01,GU_Central_2,306746
2018-08-01,GU_Central_2,261725
2018-09-01,GU_Central_2,326479
2018-10-01,GU_Central_2,443248
2018-11-01,GU_Central_2,476980
2018-12-01,GU_Central_2,570979
2019-01-01,GU_Central_2,603814
2019-02-01,GU_Central_2,679126
2019-03-01,GU_Central_2,586189
2019-04-01,GU_Central_2,660555
2019-05-01,GU_Central_2,515621
2019-06-01,GU_Central_2,343012
2019-07-01,GU_Central_2,297212
2019-08-01,GU_Central_2,287726
2019-09-01,GU_Central_2,355646
2019-10-01,GU_Central_2,472676
2019-11-01,GU_Central_2,550426
2019-12-01,GU_Central_2,497785
2020-01-01,GU_Central_2,743738
2020-02-01,GU_Central_2,657456
2020-03-01,GU_Central_2,759028
2020-04-01,GU_Central_2,428882
2020-05-01,GU_Central_2,375953
2020-06-01,GU_Central_2,272814
2020-07-01,GU_Central_2,343030
2020-08-01,GU_Central_2,338799
2020-09-01,GU_Central_2,382234
2020-10-01,GU_Central_2,500057
2020-11-01,GU_Central_2,468145
2020-12-01,GU_Central_2,608864
2021-01-01,GU_Central_2,673487
2021-02-01,GU_Central_2,804435
2021-03-01,GU_Central_2,836842
2021-04-01,GU_Central_2,588712
2021-05-01,GU_Central_2,641671
2021-06-01,GU_Central_2,411716
2021-07-01,GU_Central_2,388068
2021-08-01,GU_Central_2,351170
2021-09-01,GU_Central_2,413878
2021-10-01,GU_Central_2,414792
2021-11-01,GU_Central_2,573345
2021-12-01,GU_Central_2,706592
2022-01-01,GU_Central_2,825475
2022-02-01,GU_Central_2,771116
2022-03-01,GU_Central_2,977991
2022-04-01,GU_Central_2,839080
2022-05-01,GU_Central_2,663861
2022-06-01,GU_Central_2,441542
2022-07-01,GU_Central_2,409902
2022-08-01,GU_Central_2,348807
2022-09-01,GU_Central_2,474611
2022-10-01,GU_Central_2,574138
2022-11-01,GU_Central_2,779047
2022-12-01,GU_Central_2,868095
2023-01-01,GU_Central_2,764120
2023-02-01,GU_Central_2,935117
2023-03-01,GU_Central_2,1021123
2023-04-01,GU_Central_2,766587
2023-05-01,GU_Central_2,774604
2023-06-01,GU_Central_2,465293
2023-07-01,GU_Central_2,504352
2023-08-01,GU_Central_2,412514
2023-09-01,GU_Central_2,551217
2023-10-01,GU_Central_2,591149
2023-11-01,GU_Central_2,701879
2023-12-01,GU_Central_2,924939
2024-01-01,GU_Central_2,903052
2024-02-01,GU_Central_2,1113009
2024-03-01,GU_Central_2,1111152
2024-04-01,GU_Central_2,1044490
2024-05-01,GU_Central_2,862570
2024-06-01,GU_Central_2,747693
2024-07-01,GU_Central_2,617881
2024-08-01,GU_Central_2,447525
2024-09-01,GU_Central_2,663664
2024-10-01,GU_Central_2,790108
2024-11-01,GU_Central_2,777033
2024-12-01,GU_Central_2,938232
2025-01-01,GU_Central_2,1107129
2025-02-01,GU_Central_2,1123487
2025-03-01,GU_Central_2,1155349
2025-04-01,GU_Central_2,1080124
2025-05-01,GU_Central_2,982885
2025-06-01,GU_Central_2,755589
2025-07-01,GU_Central_2,557529
2025-08-01,GU_Central_2,640324
2025-09-01,GU_Central_2,754716
2025-10-01,GU_Central_2,778035
2025-11-01,GU_Central_2,949162
2025-12-01,GU_Central_2,1067825
2015-01-01,GU_Central_3,358173
2015-02-01,GU_Central_3,359266
2015-03-01,GU_Central_3,352656
2015-04-01,GU_Central_3,356267
2015-05-01,GU_Central_3,297831
2015-06-01,GU_Central_3,185575
2015-07-01,GU_Central_3,190302
2015-08-01,GU_Central_3,167289
2015-09-01,GU_Central_3,199935
2015-10-01,GU_Central_3,283417
2015-11-01,GU_Central_3,316788
2015-12-01,GU_Central_3,363314
2016-01-01,GU_Central_3,419963
2016-02-01,GU_Central_3,457806
2016-03-01,GU_Central_3,417250
2016-04-01,GU_Central_3,424272
2016-05-01,GU_Central_3,353498
2016-06-01,GU_Central_3,218966
2016-07-01,GU_Central_3,223407
2016-08-01,GU_Central_3,251671
2016-09-01,GU_Central_3,244166
2016-10-01,GU_Central_3,363486
2016-11-01,GU_Central_3,345544
2016-12-01,GU_Central_3,443678
2017-01-01,GU_Central_3,423368
2017-02-01,GU_Central_3,479243
2017-03-01,GU_Central_3,542008
2017-04-01,GU_Central_3,547624
2017-05-01,GU_Central_3,447095
2017-06-01,GU_Central_3,277759
2017-07-01,GU_Central_3,290007
2017-08-01,GU_Central_3,248139
2017-09-01,GU_Central_3,346442
2017-10-01,GU_Central_3,410548
2017-11-01,GU_Central_3,443558
2017-12-01,GU_Central_3,457584
2018-01-01,GU_Central_3,640349
2018-02-01,GU_Central_3,578815
2018-03-01,GU_Central_3,506733
2018-04-01,GU_Central_3,495189
2018-05-01,GU_Central_3,500742
2018-06-01,GU_Central_3,350623
2018-07-01,GU_Central_3,319556
2018-08-01,GU_Central_3,307884
2018-09-01,GU_Central_3,364027
2018-10-01,GU_Central_3,405850
2018-11-01,GU_Central_3,461235
2018-12-01,GU_Central_3,552627
2019-01-01,GU_Central_3,553318
2019-02-01,GU_Central_3,527650
2019-03-01,GU_Central_3,749298
2019-04-01,GU_Central_3,643979
2019-05-01,GU_Central_3,473560
2019-06-01,GU_Central_3,416716
2019-07-01,GU_Central_3,301866
2019-08-01,GU_Central_3,280312
2019-09-01,GU_Central_3,389547
2019-10-01,GU_Central_3,576733
2019-11-01,GU_Central_3,456632
2019-12-01,GU_Central_3,524291
2020-01-01,GU_Central_3,670951
2020-02-01,GU_Central_3,648298
2020-03-01,GU_Central_3,664885
2020-04-01,GU_Central_3,398788
2020-05-01,GU_Central_3,358129
2020-06-01,GU_Central_3,248255
2020-07-01,GU_Central_3,343041
2020-08-01,GU_Central_3,266796
2020-09-01,GU_Central_3,374202
2020-10-01,GU_Central_3,479980
2020-11-01,GU_Central_3,631702
2020-12-01,GU_Central_3,554517
2021-01-01,GU_Central_3,690421
2021-02-01,GU_Central_3,677774
2021-03-01,GU_Central_3,717663
2021-04-01,GU_Central_3,740689
2021-05-01,GU_Central_3,563051
2021-06-01,GU_Central_3,435519
2021-07-01,GU_Central_3,303282
2021-08-01,GU_Central_3,328118
2021-09-01,GU_Central_3,338780
2021-10-01,GU_Central_3,502325
2021-11-01,GU_Central_3,673518
2021-12-01,GU_Central_3,765973
2022-01-01,GU_Central_3,772846
2022-02-01,GU_Central_3,772122
2022-03-01,GU_Central_3,759073
2022-04-01,GU_Central_3,692731
2022-05-01,GU_Central_3,726294
2022-06-01,GU_Central_3,487053
2022-07-01,GU_Central_3,429838
2022-08-01,GU_Central_3,409118
2022-09-01,GU_Central_3,479270
2022-10-01,GU_Central_3,568097
2022-11-01,GU_Central_3,657806
2022-12-01,GU_Central_3,734550
2023-01-01,GU_Central_3,772768
2023-02-01,GU_Central_3,963580
2023-03-01,GU_Central_3,884412
2023-04-01,GU_Central_3,917449
2023-05-01,GU_Central_3,709713
2023-06-01,GU_Central_3,467053
2023-07-01,GU_Central_3,449099
2023-08-01,GU_Central_3,412659
2023-09-01,GU_Central_3,521059
2023-10-01,GU_Central_3,670610
2023-11-01,GU_Central_3,768155
2023-12-01,GU_Central_3,832190
2024-01-01,GU_Central_3,985319
2024-02-01,GU_Central_3,1006909
2024-03-01,GU_Central_3,1159308
2024-04-01,GU_Central_3,973381
2024-05-01,GU_Central_3,900646
2024-06-01,GU_Central_3,617479
2024-07-01,GU_Central_3,489146
2024-08-01,GU_Central_3,431948
2024-09-01,GU_Central_3,581515
2024-10-01,GU_Central_3,779533
2024-11-01,GU_Central_3,1015486
2024-12-01,GU_Central_3,1045313
2025-01-01,GU_Central_3,1147851
2025-02-01,GU_Central_3,1152035
2025-03-01,GU_Central_3,1245143
2025-04-01,GU_Central_3,1175708
2025-05-01,GU_Central_3,956693
2025-06-01,GU_Central_3,682788
2025-07-01,GU_Central_3,524778
2025-08-01,GU_Central_3,647245
2025-09-01,GU_Central_3,708329
2025-10-01,GU_Central_3,922152
2025-11-01,GU_Central_3,939781
2025-12-01,GU_Central_3,1033384
2015-01-01,GU_East_1,381212
2015-02-01,GU_East_1,419337
2015-03-01,GU_East_1,357161
2015-04-01,GU_East_1,407445
2015-05-01,GU_East_1,351299
2015-06-01,GU_East_1,209654
2015-07-01,GU_East_1,202522
2015-08-01,GU_East_1,191121
2015-09-01,GU_East_1,248136
2015-10-01,GU_East_1,287282
2015-11-01,GU_East_1,263280
2015-12-01,GU_East_1,347735
2016-01-01,GU_East_1,464297
2016-02-01,GU_East_1,501492
2016-03-01,GU_East_1,467707
2016-04-01,GU_East_1,538781
2016-05-01,GU_East_1,357184
2016-06-01,GU_East_1,231634
2016-07-01,GU_East_1,242072
2016-08-01,GU_East_1,174783
2016-09-01,GU_East_1,250554
2016-10-01,GU_East_1,288509
2016-11-01,GU_East_1,359151
2016-12-01,GU_East_1,561090
2017-01-01,GU_East_1,523591
2017-02-01,GU_East_1,509903
2017-03-01,GU_East_1,657638
2017-04-01,GU_East_1,485921
2017-05-01,GU_East_1,450237
2017-06-01,GU_East_1,320898
2017-07-01,GU_East_1,292747
2017-08-01,GU_East_1,244921
2017-09-01,GU_East_1,343305
2017-10-01,GU_East_1,343982
2017-11-01,GU_East_1,459905
2017-12-01,GU_East_1,490109
2018-01-01,GU_East_1,663594
2018-02-01,GU_East_1,568300
2018-03-01,GU_East_1,681640
2018-04-01,GU_East_1,617431
2018-05-01,GU_East_1,440467
2018-06-01,GU_East_1,398001
2018-07-01,GU_East_1,303712
2018-08-01,GU_East_1,255351
2018-09-01,GU_East_1,275490
2018-10-01,GU_East_1,409416
2018-11-01,GU_East_1,448705
2018-12-01,GU_East_1,527255
2019-01-01,GU_East_1,633083
2019-02-01,GU_East_1,810651
2019-03-01,GU_East_1,645491
2019-04-01,GU_East_1,695818
2019-05-01,GU_East_1,563674
2019-06-01,GU_East_1,354034
2019-07-01,GU_East_1,296742
2019-08-01,GU_East_1,306422
2019-09-01,GU_East_1,340176
2019-10-01,GU_East_1,473586
2019-11-01,GU_East_1,476213
2019-12-01,GU_East_1,630391
2020-01-01,GU_East_1,757655
2020-02-01,GU_East_1,817884
2020-03-01,GU_East_1,749404
2020-04-01,GU_East_1,405172
2020-05-01,GU_East_1,373271
2020-06-01,GU_East_1,255231
2020-07-01,GU_East_1,263655
2020-08-01,GU_East_1,314963
2020-09-01,GU_East_1,374880
2020-10-01,GU_East_1,539971
2020-11-01,GU_East_1,562106
2020-12-01,GU_East_1,542349
2021-01-01,GU_East_1,681969
2021-02-01,GU_East_1,874523
2021-03-01,GU_East_1,866809
2021-04-01,GU_East_1,765635
2021-05-01,GU_East_1,607601
2021-06-01,GU_East_1,453412
2021-07-01,GU_East_1,312567
2021-08-01,GU_East_1,348483
2021-09-01,GU_East_1,468736
2021-10-01,GU_East_1,517438
2021-11-01,GU_East_1,438816
2021-12-01,GU_East_1,622579
2022-01-01,GU_East_1,762937
2022-02-01,GU_East_1,863640
2022-03-01,GU_East_1,987408
2022-04-01,GU_East_1,855467
2022-05-01,GU_East_1,865687
2022-06-01,GU_East_1,481828
2022-07-01,GU_East_1,394297
2022-08-01,GU_East_1,417108
2022-09-01,GU_East_1,513011
2022-10-01,GU_East_1,637607
2022-11-01,GU_East_1,628678
2022-12-01,GU_East_1,742743
2023-01-01,GU_East_1,881871
2023-02-01,GU_East_1,1009367
2023-03-01,GU_East_1,1235180
2023-04-01,GU_East_1,938893
2023-05-01,GU_East_1,769624
2023-06-01,GU_East_1,538621
2023-07-01,GU_East_1,506210
2023-08-01,GU_East_1,463114
2023-09-01,GU_East_1,486455
2023-10-01,GU_East_1,579712
2023-11-01,GU_East_1,763519
2023-12-01,GU_East_1,891185
2024-01-01,GU_East_1,983601
2024-02-01,GU_East_1,1140303
2024-03-01,GU_East_1,1065006
2024-04-01,GU_East_1,1117388
2024-05-01,GU_East_1,1025396
2024-06-01,GU_East_1,558037
2024-07-01,GU_East_1,480152
2024-08-01,GU_East_1,525093
2024-09-01,GU_East_1,466350
2024-10-01,GU_East_1,822317
2024-11-01,GU_East_1,815746
2024-12-01,GU_East_1,1058956
2025-01-01,GU_East_1,1253899
2025-02-01,GU_East_1,1172207
2025-03-01,GU_East_1,1536552
2025-04-01,GU_East_1,1120153
2025-05-01,GU_East_1,1069022
2025-06-01,GU_East_1,592407
2025-07-01,GU_East_1,611276
2025-08-01,GU_East_1,573950
2025-09-01,GU_East_1,752089
2025-10-01,GU_East_1,773414
2025-11-01,GU_East_1,889418
2025-12-01,GU_East_1,1081252
2015-01-01,GU_East_2,402817
2015-02-01,GU_East_2,447170
2015-03-01,GU_East_2,453581
2015-04-01,GU_East_2,408584
2015-05-01,GU_East_2,313289
2015-06-01,GU_East_2,255169
2015-07-01,GU_East_2,187218
2015-08-01,GU_East_2,145143
2015-09-01,GU_East_2,193520
2015-10-01,GU_East_2,244174
2015-11-01,GU_East_2,346126
2015-12-01,GU_East_2,356458
2016-01-01,GU_East_2,497596
2016-02-01,GU_East_2,456707
2016-03-01,GU_East_2,463744
2016-04-01,GU_East_2,457442
2016-05-01,GU_East_2,379931
2016-06-01,GU_East_2,281817
2016-07-01,GU_East_2,194821
2016-08-01,GU_East_2,252590
2016-09-01,GU_East_2,251359
2016-10-01,GU_East_2,262751
2016-11-01,GU_East_2,382704
2016-12-01,GU_East_2,394943
2017-01-01,GU_East_2,530193
2017-02-01,GU_East_2,573801
2017-03-01,GU_East_2,666657
2017-04-01,GU_East_2,581748
2017-05-01,GU_East_2,376627
2017-06-01,GU_East_2,285763
2017-07-01,GU_East_2,237090
2017-08-01,GU_East_2,266404
2017-09-01,GU_East_2,246371
2017-10-01,GU_East_2,334786
2017-11-01,GU_East_2,367189
2017-12-01,GU_East_2,494447
2018-01-01,GU_East_2,508132
2018-02-01,GU_East_2,702742
2018-03-01,GU_East_2,599352
2018-04-01,GU_East_2,650959
2018-05-01,GU_East_2,507888
2018-06-01,GU_East_2,340111
2018-07-01,GU_East_2,330934
2018-08-01,GU_East_2,272686
2018-09-01,GU_East_2,353803
2018-10-01,GU_East_2,390197
2018-11-01,GU_East_2,486638
2018-12-01,GU_East_2,570923
2019-01-01,GU_East_2,618030
2019-02-01,GU_East_2,823538
2019-03-01,GU_East_2,689266
2019-04-01,GU_East_2,594662
2019-05-01,GU_East_2,514747
2019-06-01,GU_East_2,340910
2019-07-01,GU_East_2,327413
2019-08-01,GU_East_2,281009
2019-09-01,GU_East_2,271777
2019-10-01,GU_East_2,488259
2019-11-01,GU_East_2,505790
2019-12-01,GU_East_2,618741
2020-01-01,GU_East_2,765407
2020-02-01,GU_East_2,662558
2020-03-01,GU_East_2,814871
2020-04-01,GU_East_2,436011
2020-05-01,GU_East_2,423187
2020-06-01,GU_East_2,274063
2020-07-01,GU_East_2,299120
2020-08-01,GU_East_2,241179
2020-09-01,GU_East_2,431852
2020-10-01,GU_East_2,448642
2020-11-01,GU_East_2,475073
2020-12-01,GU_East_2,631002
2021-01-01,GU_East_2,578917
2021-02-01,GU_East_2,819450
2021-03-01,GU_East_2,822045
2021-04-01,GU_East_2,767424
2021-05-01,GU_East_2,625310
2021-06-01,GU_East_2,424599
2021-07-01,GU_East_2,362591
2021-08-01,GU_East_2,372484
2021-09-01,GU_East_2,352074
2021-10-01,GU_East_2,423356
2021-11-01,GU_East_2,646599
2021-12-01,GU_East_2,689801
2022-01-01,GU_East_2,845913
2022-02-01,GU_East_2,866622
2022-03-01,GU_East_2,970284
2022-04-01,GU_East_2,899059
2022-05-01,GU_East_2,728941
2022-06-01,GU_East_2,564005
2022-07-01,GU_East_2,391927
2022-08-01,GU_East_2,357800
2022-09-01,GU_East_2,554637
2022-10-01,GU_East_2,616085
2022-11-01,GU_East_2,613233
2022-12-01,GU_East_2,730457
2023-01-01,GU_East_2,824770
2023-02-01,GU_East_2,891277
2023-03-01,GU_East_2,989060
2023-04-01,GU_East_2,907655
2023-05-01,GU_East_2,845752
2023-06-01,GU_East_2,538388
2023-07-01,GU_East_2,451705
2023-08-01,GU_East_2,409563
2023-09-01,GU_East_2,464048
2023-10-01,GU_East_2,661481
2023-11-01,GU_East_2,666783
2023-12-01,GU_East_2,935951
2024-01-01,GU_East_2,1077686
2024-02-01,GU_East_2,1142796
2024-03-01,GU_East_2,1101833
2024-04-01,GU_East_2,1112986
2024-05-01,GU_East_2,932868
2024-06-01,GU_East_2,566607
2024-07-01,GU_East_2,499739
2024-08-01,GU_East_2,526677
2024-09-01,GU_East_2,546416
2024-10-01,GU_East_2,662168
2024-11-01,GU_East_2,860178
2024-12-01,GU_East_2,902852
2025-01-01,GU_East_2,1087504
2025-02-01,GU_East_2,1183965
2025-03-01,GU_East_2,1447696
2025-04-01,GU_East_2,1206761
2025-05-01,GU_East_2,1009465
2025-06-01,GU_East_2,716127
2025-07-01,GU_East_2,609088
2025-08-01,GU_East_2,535806
2025-09-01,GU_East_2,624194
2025-10-01,GU_East_2,876902
2025-11-01,GU_East_2,920797
2025-12-01,GU_East_2,1020544
2015-01-01,GU_East_3,345732
2015-02-01,GU_East_3,487332
2015-03-01,GU_East_3,466321
2015-04-01,GU_East_3,354102
2015-05-01,GU_East_3,352538
2015-06-01,GU_East_3,229479
2015-07-01,GU_East_3,187662
2015-08-01,GU_East_3,166372
2015-09-01,GU_East_3,181890
2015-10-01,GU_East_3,226366
2015-11-01,GU_East_3,273741
2015-12-01,GU_East_3,365540
2016-01-01,GU_East_3,457007
2016-02-01,GU_East_3,549618
2016-03-01,GU_East_3,491507
2016-04-01,GU_East_3,446344
2016-05-01,GU_East_3,401212
2016-06-01,GU_East_3,244025
2016-07-01,GU_East_3,190017
2016-08-01,GU_East_3,221164
2016-09-01,GU_East_3,214533
2016-10-01,GU_East_3,312854
2016-11-01,GU_East_3,336986
2016-12-01,GU_East_3,447184
2017-01-01,GU_East_3,523153
2017-02-01,GU_East_3,518438
2017-03-01,GU_East_3,602251
2017-04-01,GU_East_3,542002
2017-05-01,GU_East_3,488130
2017-06-01,GU_East_3,299644
2017-07-01,GU_East_3,263178
2017-08-01,GU_East_3,221235
2017-09-01,GU_East_3,283445
2017-10-01,GU_East_3,438811
2017-11-01,GU_East_3,373473
2017-12-01,GU_East_3,541480
2018-01-01,GU_East_3,540010
2018-02-01,GU_East_3,708074
2018-03-01,GU_East_3,676208
2018-04-01,GU_East_3,587474
2018-05-01,GU_East_3,501618
2018-06-01,GU_East_3,369080
2018-07-01,GU_East_3,326622
2018-08-01,GU_East_3,236632
2018-09-01,GU_East_3,304928
2018-10-01,GU_East_3,430334
2018-11-01,GU_East_3,422564
2018-12-01,GU_East_3,528431
2019-01-01,GU_East_3,642993
2019-02-01,GU_East_3,801652
2019-03-01,GU_East_3,768078
2019-04-01,GU_East_3,629602
2019-05-01,GU_East_3,485853
2019-06-01,GU_East_3,372810
2019-07-01,GU_East_3,346115
2019-08-01,GU_East_3,303373
2019-09-01,GU_East_3,359195
2019-10-01,GU_East_3,457041
2019-11-01,GU_East_3,584188
2019-12-01,GU_East_3,530629
2020-01-01,GU_East_3,650876
2020-02-01,GU_East_3,747208
2020-03-01,GU_East_3,664687
2020-04-01,GU_East_3,458859
2020-05-01,GU_East_3,362453
2020-06-01,GU_East_3,285716
2020-07-01,GU_East_3,291837
2020-08-01,GU_East_3,309009
2020-09-01,GU_East_3,375339
2020-10-01,GU_East_3,535659
2020-11-01,GU_East_3,538787
2020-12-01,GU_East_3,671820
2021-01-01,GU_East_3,792579
2021-02-01,GU_East_3,792473
2021-03-01,GU_East_3,734287
2021-04-01,GU_East_3,693357
2021-05-01,GU_East_3,648792
2021-06-01,GU_East_3,457984
2021-07-01,GU_East_3,386780
2021-08-01,GU_East_3,413451
2021-09-01,GU_East_3,357425
2021-10-01,GU_East_3,517917
2021-11-01,GU_East_3,575192
2021-12-01,GU_East_3,639149
2022-01-01,GU_East_3,644546
2022-02-01,GU_East_3,808974
2022-03-01,GU_East_3,888066
2022-04-01,GU_East_3,740240
2022-05-01,GU_East_3,748877
2022-06-01,GU_East_3,576633
2022-07-01,GU_East_3,392485
2022-08-01,GU_East_3,406256
2022-09-01,GU_East_3,471404
2022-10-01,GU_East_3,512280
2022-11-01,GU_East_3,663589
2022-12-01,GU_East_3,668005
2023-01-01,GU_East_3,861322
2023-02-01,GU_East_3,978157
2023-03-01,GU_East_3,987574
2023-04-01,GU_East_3,839348
2023-05-01,GU_East_3,809378
2023-06-01,GU_East_3,520007
2023-07-01,GU_East_3,401273
2023-08-01,GU_East_3,417095
2023-09-01,GU_East_3,528438
2023-10-01,GU_East_3,627876
2023-11-01,GU_East_3,652608
2023-12-01,GU_East_3,876264
2024-01-01,GU_East_3,1085222
2024-02-01,GU_East_3,913065
2024-03-01,GU_East_3,1430875
2024-04-01,GU_East_3,1116340
2024-05-01,GU_East_3,890486
2024-06-01,GU_East_3,642407
2024-07-01,GU_East_3,563442
2024-08-01,GU_East_3,405108
2024-09-01,GU_East_3,604546
2024-10-01,GU_East_3,685667
2024-11-01,GU_East_3,782658
2024-12-01,GU_East_3,962646
2025-01-01,GU_East_3,1138957
2025-02-01,GU_East_3,1289814
2025-03-01,GU_East_3,1463236
2025-04-01,GU_East_3,1153914
2025-05-01,GU_East_3,1037475
2025-06-01,GU_East_3,601178
2025-07-01,GU_East_3,495966
2025-08-01,GU_East_3,508557
2025-09-01,GU_East_3,696025
2025-10-01,GU_East_3,793848
2025-11-01,GU_East_3,902903
2025-12-01,GU_East_3,1119191
2015-01-01,GU_North_1,510181
2015-02-01,GU_North_1,494036
2015-03-01,GU_North_1,520127
