iu_id,gu_id,distance_km,rail_feasible,road_feasible
IU_East_3,GU_West_2,956,1,1
IU_East_3,GU_West_3,762,1,1
IU_North_1,GU_Central_1,847,1,1
IU_North_1,GU_Central_2,661,1,1
IU_North_1,GU_Central_3,524,1,1
IU_North_1,GU_East_1,1310,1,1
IU_North_1,GU_East_2,644,1,1
IU_North_1,GU_East_3,941,1,1
IU_North_1,GU_North_1,171,0,1
IU_North_1,GU_North_2,174,0,1
IU_North_1,GU_North_3,86,0,1
IU_North_1,GU_South_1,569,1,1
IU_North_1,GU_South_2,523,1,1
IU_North_1,GU_South_3,1458,1,1
IU_North_1,GU_West_1,1045,1,1
IU_North_1,GU_West_2,1185,1,1
IU_North_1,GU_West_3,600,1,1
IU_North_2,GU_Central_1,768,1,1
IU_North_2,GU_Central_2,1196,1,1
IU_North_2,GU_Central_3,476,1,1
IU_North_2,GU_East_1,458,1,1
IU_North_2,GU_East_2,830,1,1
IU_North_2,GU_East_3,1037,1,1
IU_North_2,GU_North_1,158,0,1
IU_North_2,GU_North_2,273,0,1
IU_North_2,GU_North_3,327,1,1
IU_North_2,GU_South_1,467,1,1
IU_North_2,GU_South_2,1492,1,1
IU_North_2,GU_South_3,704,1,1
IU_North_2,GU_West_1,1073,1,1
IU_North_2,GU_West_2,764,1,1
IU_North_2,GU_West_3,1220,1,1
IU_North_3,GU_Central_1,742,1,1
IU_North_3,GU_Central_2,1346,1,1
IU_North_3,GU_Central_3,1298,1,1
IU_North_3,GU_East_1,1161,1,1
IU_North_3,GU_East_2,740,1,1
IU_North_3,GU_East_3,1341,1,1
IU_North_3,GU_North_1,70,0,1
IU_North_3,GU_North_2,349,1,1
IU_North_3,GU_North_3,188,0,1
IU_North_3,GU_South_1,758,1,1
IU_North_3,GU_South_2,1235,1,1
IU_North_3,GU_South_3,882,1,1
IU_North_3,GU_West_1,1308,1,1
IU_North_3,GU_West_2,1265,1,1
IU_North_3,GU_West_3,538,1,1
IU_South_1,GU_Central_1,1395,1,1
IU_South_1,GU_Central_2,834,1,1
IU_South_1,GU_Central_3,908,1,1
IU_South_1,GU_East_1,672,1,1
IU_South_1,GU_East_2,503,1,1
IU_South_1,GU_East_3,1161,1,1
IU_South_1,GU_North_1,1186,1,1
IU_South_1,GU_North_2,564,1,1
IU_South_1,GU_North_3,1398,1,1
IU_South_1,GU_South_1,390,1,1
IU_South_1,GU_South_2,57,0,1
IU_South_1,GU_South_3,333,1,1
IU_South_1,GU_West_1,916,1,1
IU_South_1,GU_West_2,1056,1,1
IU_South_1,GU_West_3,1012,1,1
IU_South_2,GU_Central_1,563,1,1
IU_South_2,GU_Central_2,463,1,1
IU_South_2,GU_Central_3,666,1,1
IU_South_2,GU_East_1,645,1,1
IU_South_2,GU_East_2,794,1,1
IU_South_2,GU_East_3,875,1,1
IU_South_2,GU_North_1,1376,1,1
IU_South_2,GU_North_2,1443,1,1
IU_South_2,GU_North_3,957,1,1
IU_South_2,GU_South_1,61,0,1
IU_South_2,GU_South_2,119,0,1
IU_South_2,GU_South_3,66,0,1
IU_South_2,GU_West_1,1282,1,1
IU_South_2,GU_West_2,546,1,1
IU_South_2,GU_West_3,1065,1,1
IU_South_3,GU_Central_1,1019,1,1
IU_South_3,GU_Central_2,1219,1,1
IU_South_3,GU_Central_3,1263,1,1
IU_South_3,GU_East_1,981,1,1
IU_South_3,GU_East_2,1422,1,1
IU_South_3,GU_East_3,1094,1,1
IU_South_3,GU_North_1,806,1,1
IU_South_3,GU_North_2,798,1,1
IU_South_3,GU_North_3,1114,1,1
IU_South_3,GU_South_1,241,0,1
IU_South_3,GU_South_2,298,0,1
IU_South_3,GU_South_3,291,0,1
IU_South_3,GU_West_1,1373,1,1
IU_South_3,GU_West_2,481,1,1
IU_South_3,GU_West_3,1003,1,1
IU_West_1,GU_Central_1,1171,1,1
IU_West_1,GU_Central_2,1302,1,1
IU_West_1,GU_Central_3,764,1,1
IU_West_1,GU_East_1,562,1,1
IU_West_1,GU_East_2,1471,1,1
IU_West_1,GU_East_3,910,1,1
IU_West_1,GU_North_1,515,1,1
IU_West_1,GU_North_2,1340,1,1
IU_West_1,GU_North_3,736,1,1
IU_West_1,GU_South_1,1280,1,1
IU_West_1,GU_South_2,1136,1,1
IU_West_1,GU_South_3,1239,1,1
IU_West_1,GU_West_1,196,0,1
IU_West_1,GU_West_2,112,0,1
IU_West_1,GU_West_3,343,1,1
IU_West_2,GU_Central_1,842,1,1
IU_West_2,GU_Central_2,1236,1,1
IU_West_2,GU_Central_3,1436,1,1
IU_West_2,GU_East_1,1342,1,1
IU_West_2,GU_East_2,686,1,1
IU_West_2,GU_East_3,1119,1,1
IU_West_2,GU_North_1,879,1,1
IU_West_2,GU_North_2,421,1,1
IU_West_2,GU_North_3,1082,1,1
IU_West_2,GU_South_1,1305,1,1
IU_West_2,GU_South_2,719,1,1
IU_West_2,GU_South_3,525,1,1
IU_West_2,GU_West_1,326,1,1
IU_West_2,GU_West_2,253,0,1
IU_West_2,GU_West_3,243,0,1
IU_West_3,GU_Central_1,1095,1,1
IU_West_3,GU_Central_2,456,1,1
IU_West_3,GU_Central_3,418,1,1
IU_West_3,GU_East_1,663,1,1
IU_West_3,GU_East_2,1193,1,1
IU_West_3,GU_East_3,512,1,1
IU_West_3,GU_North_1,941,1,1
IU_West_3,GU_North_2,1046,1,1
IU_West_3,GU_North_3,978,1,1
IU_West_3,GU_South_1,1488,1,1
IU_West_3,GU_South_2,424,1,1
IU_West_3,GU_South_3,400,1,1
IU_West_3,GU_West_1,86,0,1
IU_West_3,GU_West_2,190,0,1
IU_West_3,GU_West_3,281,0,1
